filename,width,height,class,xmin,ymin,xmax,ymax
damaged_apple--165-_jpg.rf.f76ac6ac9b7d09bb20fd44cd36ab9b6c.jpg,214,119,apple,3,81,65,116
damaged_apple--165-_jpg.rf.f76ac6ac9b7d09bb20fd44cd36ab9b6c.jpg,214,119,apple,108,2,187,44
damaged_apple--165-_jpg.rf.f76ac6ac9b7d09bb20fd44cd36ab9b6c.jpg,214,119,damaged_apple,80,38,174,115
damaged_apple--165-_jpg.rf.f76ac6ac9b7d09bb20fd44cd36ab9b6c.jpg,214,119,damaged_apple,1,8,70,75
apple--238-_jpg.rf.f7aac4e85126551d9a9d6387f3c49d92.jpg,260,194,apple,36,56,110,124
apple--238-_jpg.rf.f7aac4e85126551d9a9d6387f3c49d92.jpg,260,194,apple,96,88,173,162
apple--238-_jpg.rf.f7aac4e85126551d9a9d6387f3c49d92.jpg,260,194,apple,144,51,218,128
apple--238-_jpg.rf.f7aac4e85126551d9a9d6387f3c49d92.jpg,260,194,apple,87,30,163,83
apple--245-_jpg.rf.f7d61293df201cb4e0cee74fb6c302c9.jpg,275,183,apple,3,50,110,175
apple--245-_jpg.rf.f7d61293df201cb4e0cee74fb6c302c9.jpg,275,183,apple,129,28,270,176
apple--182-_jpg.rf.f85a7c0b0fdfd3548d5db42472ad1622.jpg,275,183,apple,162,60,243,138
damaged_apple--132-_jpg.rf.f9ef58ff5f573e67402aa8c59e5c5328.jpg,265,190,damaged_apple,39,11,213,177
damaged_apple--69-_jpg.rf.fb8005404ab5f6ff82608fbe8b9718dd.jpg,251,201,damaged_apple,51,54,186,177
damaged_apple--118-_jpg.rf.f743f21f48be51587bec901fe281dadc.jpg,263,191,damaged_apple,132,34,227,136
apple--29-_jpg.rf.fa89194496fb4b53945223712b482314.jpg,263,192,apple,101,94,141,139
apple--29-_jpg.rf.fa89194496fb4b53945223712b482314.jpg,263,192,apple,13,13,59,63
apple--29-_jpg.rf.fa89194496fb4b53945223712b482314.jpg,263,192,apple,137,34,177,70
apple--29-_jpg.rf.fa89194496fb4b53945223712b482314.jpg,263,192,apple,178,58,220,102
apple--37-_jpg.rf.fcabd3a96a586834a2511b8165a3b4a8.jpg,191,264,apple,51,117,139,213
apple--37-_jpg.rf.fcabd3a96a586834a2511b8165a3b4a8.jpg,191,264,apple,82,18,140,76
apple--37-_jpg.rf.fcabd3a96a586834a2511b8165a3b4a8.jpg,191,264,apple,137,56,191,123
apple--37-_jpg.rf.fcabd3a96a586834a2511b8165a3b4a8.jpg,191,264,apple,17,75,96,121
apple--252-_jpg.rf.fcd5cf2d816b9013b098789d3095e10b.jpg,273,185,apple,55,61,154,160
apple--252-_jpg.rf.fcd5cf2d816b9013b098789d3095e10b.jpg,273,185,apple,160,80,266,180
